Embedded,Keptentry,creatorType,machineReadableDate,holdings,oclcNumber,mainTitle,firstName,secondName,isPrimary,publisherName,publicationPlace,GeographicRegion,Geographic,itemLanguage,physicalDescription,Author_1_FirstName,Author_1_SecondName,Author_1_Gender,Author_2_FirstName,Author_2_SecondName,Author_2_Gender,Author_3_FirstName,Author_3_SecondName,Author_3_Gender,Author_4_FirstName,Author_4_SecondName,GenderAuthor_4,Authorgenders,MajorityAuthorGender,FirstAuthorGender,Author_5_FirstName,Author_5_SecondName,Author_6_FirstName,Author_6_SecondName,Author_7_FirstName,Author_7_SecondName,Author_8_FirstName,Author_8_SecondName,Summary,NoSummary_coding,TB_Test,Typeofbook,Frame#1_Disempowerment,Frame#2_Poverty_poor,Frame#3_Women,Frame#4_SelfHelp,Frame#5_FinancialInclusion,Frame#6_Innovation,Frame#7_Organizationaltype,Frame#8_Money_Moneymanagement,Frame#9_MarketLed_Commercialization,Frame#10_Development_Sustainabledevelopment,Frame#11_Technology,Frame#12_Publicpolicy,Frame#13_ReligiousMicrofinance,Frame#14_Systemappraisal,Frame#15_Debt_Indebtedness,Frame#16_Interpersonalrelationships,Frame#17_Evaluation,Frame#18_Powerissues,Frame#19_Politicalaspirations,Frame#20_Ethics,Frame#21_Affects,Paperstoexclude,Tag,PublicationDate,HoldingRank25,HoldingRank10
 ,1,person,2019,73,1091370150,Neoliberalism and women in India : governmentality perspectives / U. Kalpagam,U.,Kalpagam,1,"Lexington Books, an imprint of The Rowman & Littlefield Publishing Group, Inc.","Lanham, Maryland",1,1,eng,"xi, 241 pages ; 24 cm",U.,Kalpagam,F, , , , , , , , , ,2,2,2, , , , , , , , ,"""This study examines neoliberal strategies of governmentality in India. The author analyzes the effects of globalization and how women's subjectivities are shaped in a variety of sociopolitical contexts""-- Provided by publisher", , ,CS,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,2019,    1.00,3
 ,1,person,2018,72,1030767590,"Micro-meltdown : the inside story of the rise, fall, and resurgence of the world's most valuable microlender / Vikram Akula",Vikram,Akula,1,"BenBella Books, Inc.","Dallas, TX",1,1,eng,pages cm,Vikram,Akula,M, , , , , , , , , ,1,1,1, , , , , , , , ,"Vikram Akula founded SKS Microfinance with a clear mission: improve the lives of poor people in India by providing small loans. These small loans, used to start or expand businesses and generate earnings, were a proven path out of poverty for thousands around the world. But microfinance institutions were always set up as not-for-profits, so their ability to help was limited by the grants and donations they received. Vikram wasn't the first person to bring microfinance to India, but his idea was to do it at a previously unheard-of scale, for millions rather than thousands. He would do this by making SKS Microfinance a for-profit institution, capable of raising funds and growing as fast as profits allowed. SKS flourished, distributing billions of dollars of loans and becoming one of the world's most successful microfinance institutions. But just as he thought he was really making a difference, a storm was brewing. For decades, microfinance was heralded as a key solution to global poverty, and nearly overnight, it came to be viewed instead as a villain. In the blink of an eye, the company's stellar reputation had vanished. Faced with extortion and murder threats, everything Akula had worked for was up in flames. This book is the story of SKS tremendous success, the oversights that led to disaster, the eventual resurgence, and the lessons learned. One of the most exciting recent developments is the rise of new businesses and entrepreneurs committed to social good. Socially conscious businesses have the potential to transform societies, but there are risks as well as benefits. Micro-Meltdown is essential reading for any would-be entrepreneur who wants to change the world for the better. It offers an insider's account of both the keys to success and the risks that must be managed", , ,CS,0,1,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0, ,0,2018,    1.00,3
E,1,person,2009,1187,268793258,NGOs and corporations : conflict and collaboration / Michael Yaziji and Jonathan Doh,M.,Yaziji,1,Cambridge University Press,Cambridge,2,2,eng,"xix, 191 pages : illustrations ; 23 cm.",M.,Yaziji,M,Jonathan P.,Doh,M, , , , , , ,3,1,1, , , , , , , , ,"""We live in a period marked by the ascendency of corporations. At the same time, the number of non-governmental organizations (NGOs) - such as Amnesty International, CARE, Greenpeace, Oxfam, Save the Children, and the WWF - has rapidly increased in the last twenty years. As a result, these two very different types of organization are playing an increasingly important role in shaping our society, yet they often have very different agendas. This book focuses on the dynamic interactions, both conflictual and collaborative, that exist between corporations and NGOs. It includes rigorous models, frameworks, and case studies to document the various ways that NGOs target corporations through boycotts, proxy campaigns, and other advocacy initiatives. It also explains the emerging pattern of cross-sectoral alliances and partnerships between corporations and NGOs. This book can help managers, activists, scholars, and students to better understand the nature, scope, and evolution of these complex interactions.""--Jacket", ,?,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2009,    4.00,10
 ,1,person,2013,1170,1026078231,El Norte or bust! : how migration fever and microcredit produced a financial crash in a Latin American town / David Stoll,David,Stoll,1,"Rowman & Littlefield Publishers, Inc.","Lanham, Maryland",1,1,eng,"xiii, 281 p. : il. ; 23 cm",David,Stoll,M, , , , , , , , , ,1,1,1, , , , , , , , ,"Debt is the hidden engine driving undocumented migration to the United States. So argues David Stoll in this powerful chronicle of migrants, moneylenders, and swindlers in the Guatemalan highlands, one of the locales that, collectively, are sending millions of Latin Americans north in search of higher wages. As an anthropologist, Stoll has witnessed the Ixil Mayas of Nebaj grow in numbers, run out of land, and struggle to find employment. Aid agencies have provided microcredits to turn the Nebajenses into entrepreneurs, but credit alone cannot boost productivity in crowded mountain valleys, which is why many recipients have invested the loans in smuggling themselves to the United States. Back home, their remittances have inflated the price of land so high that only migrants can afford to buy it. Thus, more Nebajenses have felt obliged to borrow the large sums needed to go north. So many have done so that, even before the Great Recession hit the U.S. in 2008, many were unable to find enough work to pay back their loans, triggering a financial crash back home. Now migrants and their families are losing the land and homes they have pledged as collateral. Chain migration, moneylending, and large families, Stoll proposes, have turned into pyramid schemes in which the poor transfer risk and loss to their near and dear.",1,CS,CS,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0, ,0,2013,    4.00,10
 ,1,person,2014,1156,844729245,Inside China's shadow banking : the next subprime crisis? / Joe Zhang,Joe,Zhang,1,Enrich Professional Publishing,Singapore,6,12,eng,"x, 166 pages ; 22 cm",Joe,Zhang,M,Janet,Cheng,F,Glenn,Griffith,M, , , ,11,1,1, , , , , , , , ,"Is shadow banking in China likely to become the source of the next global financial crisis or simply a little understood area of the enormous Mainland economy? Joe Zhang pulls back the curtain on this sector and explains how shadow banking in China impacts the regional and world economies. He also pinpoints the areas of concern based on his experience in the field and his knowledge of the complicated regulations of banking in China gathered during his years as a staffer at the central People's Bank of China in Beijing. Drawing on his 11 years spent at UBS, as well as the work of prominent economists, Joe Zhang explains shadow banking in China for investors, economists, laypeople, and the general public. In 2001, Joe Zhang resigned as Deputy Head of China Investment Banking at UBS to become the chairman of a microcredit company in Guangzhou. This book is both his personal story and a frank assessment of the shadow banking industry in modern China -- Provided by Publisher", ,CS,CS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2014,    4.00,10
 ,1,person,2009,1149,1090927970,The blue sweater : bridging the gap between rich and poor in an interconnected world / Jacqueline Novogratz,Jacqueline,Novogratz,1,Rodale,"Emmaus, Pa.",1,1,eng,272 pages,Jacqueline,Novogratz,F, , , , , , , , , ,2,2,2, , , , , , , , ,"Jacqueline Novogratz left a career in international banking to spend her life on a quest to understand global poverty and find powerful new ways of tackling it. From her first stumbling efforts as a young idealist venturing forth in Africa to the creation of the trailblazing organization she runs today, Novogratz tells gripping stories with unforgettable characters. She shows how traditional charity often fails, but how a new form of philanthropic investing called “patient capital” can help make people self-sufficient and can change millions of lives.   More than just an autobiography or a how-to guide to addressing poverty, The Blue Sweater is a call to action that challenges us to grant dignity to the poor and to rethink our engagement with the world.",1,RE,RE,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1, ,0,2009,    4.00,10
E,1,person,2013,1125,829645874,Fighting for reliable evidence / Judith M. Gueron and Howard Rolston,Judith M.,Gueron,1,Russell Sage Foundation,New York,1,1,eng,"xvii, 575 pages ; 23 cm",Judith M.,Gueron,F,Howard,Rolston,M, , , , , , ,10,3,2, , , , , , , , ,"Once primarily used in medical clinical trials, random assignment experimentation is now accepted among social scientists across a broad range of disciplines. The technique has been used in social experiments to evaluate a variety of programs, from microfinance and welfare reform to housing vouchers and teaching methods. How did randomized experiments move beyond medicine and into the social sciences, and can they be used effectively to evaluate complex social problems? Fighting for Reliable Evidence provides an absorbing historical account of the characters and controversies that have propelled the wider use of random assignment in social policy research over the past forty years", ,?,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2013,    4.00,10
 ,1,person,2017,1117,1004490443,"A world of three zeros : the new economics of zero poverty, zero unemployment, and zero carbon emissions / Muhammad Yunus with Karl Weber",Muhammad,Yunus,1,PublicAffairs,New York,1,1,eng,"vii, 288 pages ; 25 cm",Muhammad,Yunus,M,Karl,Weber,M, , , , , , ,3,1,1, , , , , , , , ,"Muhammad Yunus, who created microcredit, invented social business, and earned a Nobel Peace Prize for his work in alleviating poverty, is one of today's most trenchant social critics. Now he declares it's time to admit that the capitalist engine is broken--that in its current form it inevitably leads to rampant inequality, massive unemployment, and environmental destruction. We need a new economic system that unleashes altruism as a creative force just as powerful as self-interest. Is this a pipe dream? Not at all. In the last decade, thousands of people and organizations have already embraced Yunus's vision of a new form of capitalism, launching innovative social businesses designed to serve human needs rather than accumulate wealth. They are bringing solar energy to millions of homes in Bangladesh; turning thousands of unemployed young people into entrepreneurs through equity investments; financing female-owned businesses in cities across the United States; bringing mobility, shelter, and other services to the rural poor in France; and creating a global support network to help young entrepreneurs launch their start-ups. In A World of Three Zeros, Yunus describes the new civilization emerging from the economic experiments his work has helped to inspire. He explains how global companies like McCain, Renault, Essilor, and Danone got involved with this new economic model through their own social action groups, describes the ingenious new financial tools now funding social businesses, and sketches the legal and regulatory changes needed to jumpstart the next wave of socially driven innovations. And he invites young people, business and political leaders, and ordinary citizens to join the movement and help create the better world we all dream of", ,RE,RE,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1, ,0,2017,    4.00,10
E,1,person,2006,1077,58042914,"The economics of women, men, and work / Francine D. Blau, Marianne A. Ferber, Anne E. Winkler",Francine D.,Blau,1,Pearson/Prentice Hall,"Upper Saddle River, NJ",1,1,eng,"xx, 444 pages : illustrations ; 24 cm",Francine D.,Blau,F,Marianne A.,Ferber,F,Anne E.,Winkler,F, , , ,6,2,2, , , , , , , , ,"""The Economics of Women, Men, and Work, Fifth Edition, defines the study of women, men, and work in the labor market and the household. Blau, Ferber, and Winkler comprehensively analyzed recent developments in the labor market and their consequences for men and women, to again provide a single volume with the most current summary and synthesis of research and data on gender issues in the labor market.""--Jacket", , ,M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2006,    4.00,9
 ,1,person,2003,1068,1127753697,"The growth of market relations in post-reform China : a micro-analysis of peasants, migrants and peasant entrepreneurs / Hiroshi Sato",Hiroshi,Satō,1,RoutledgeCurzon,New York,1,1,eng,"xv, 240 pages : illustrations.",Hiroshi,Satō,M, , , , , , , , , ,1,1,1, , , , , , , , ,This book assesses the different factors that are contributing to the transition to a market economy and the growth of networks in rural China. It demonstrates the importance of the party-state system and regional differences., , ,CS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,2003,    4.00,9
 ,1,person,2017,1052,1019892938,The role of microfinance in women's empowerment : a comparative study of rural et urban groups in India / Raji Ajwani-Ramchandani,Raji,Ajwani-Ramchandani,1,Emerald Publishing,"Bingley, UK",2,2,eng,"xxix, 299 Seiten",Raji,Ajwani-Ramchandani,F, , , , , , , , , ,2,2,2, , , , , , , , ,"Delving into the effects of microfinance in both rural and urban communities, this book will be of interest to researchers of women studies, microfinance, and development economics.", , ,CS,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, ,0,2017,    4.00,9
 ,1,person,2017,1043,1026632707,A matter of trust : the practice of ethics in finance / Paul Kofman & Clare Payne,P.,Kofman,1,Melbourne University Press,"Carlton, Victoria",5,6,eng,"xviii, 197 pages : illustrations, charts ; 24 cm",P.,Kofman,M,Clare,Payne,F, , , , , , ,9,3,1, , , , , , , , ,"From the marble trading floors of Wall Street to the dirt floor of a microfinance lender in rural Sumatra, finance touches everybody's lives. From small personal loans to collateralised debt obligations, it promises solutions for a better, more prosperous future. But not much in life is guaranteed, and financial outcomes may not match consumer expectations. When trust between practitioners and their clients is undermined it threatens the very fabric of our financial system. The result can be personal disappointment, but the financial crisis of 2007-08 highlighted how we can all be affected when economies are jeopardised by financial mismanagement. ""A Matter of Trust"" explores how the finance sector can stand as a true profession and provides a practical guide to make everyday business decisions in an ethically sound way", , ,HT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0, ,0,2017,    4.00,9
 ,1,person,2010,1039,1013186400,The design of micro credit contracts and micro enterprise access to finance in Uganda / Winifred Tarinyeba Kiryabwire,Winifred Mary,Tarinyeba,0,LawAfrica,"Kampala, Uganda",7,13,eng,"vii, 168 pages : illustrations ; 22 cm",Winifred Mary,Tarinyeba,F, , , , , , , , , ,2,2,2, , , , , , , , ,"Studies have shown that the negative effects of credit market inefficiencies are most felt by smaller firms. Therefore, in countries such as Uganda, where micro enterprises are at the bottom of the economic pyramid, moral hazard and adverse selection severely affect their ability to access formal credit hence limiting their growth potential. Micro-finance has been heralded for its use of innovative lending methods to improve access to credit. The last decade has witnessed an unprecedented increase in the outreach of micro lending institutions and the development of financial products suited to the needs of the economically active poor, who often, are unable to obtain credit from mainstream financial institutions. This book analyzes the law and economics theories on access to credit and enterprise finance and based on case studies in Uganda, presents empirical findings of the promise and limits of contractual innovations in micro credit.",1, ,CS,0,1,0,0,1,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0, ,0,2010,    4.00,9
E,1,person,1999,360,41606251,Development in theory and practice : paradigms and paradoxes / Jan Knippers Black,Jan Knippers,Black,1,Westview Press,"Boulder, Colo",1,1,eng,"xv, 302 pages : illustrations ; 23 cm",Jan Knippers,Black,F, , , , , , , , , ,2,2,2, , , , , , , , ,"""As the literature on development has proliferated, communication among those who approach development from different perspectives, disciplines, and professions has become more strained. In this innovative text, Jan Black argues that what is missing is appropriate theory. The second edition includes more paradoxes and case studies and increased coverage of refugees and indigenous peoples. More information on the new states in post-Soviet East and Central Europe is also incorporated.""--Jacket", , ,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1999,    3.00,6
 ,1,person,2014,351,1227424125,Sustainability of Indian microfinance institutions : a mixed methods approach / Nadiya Marakkath,Nadiya,Marakkath,1,Springer,New Delhi,4,7,eng,"1 recurs en línia (xvi, 166 pàgines)",Nadiya,Marakkath,F, , , , , , , , , ,2,2,2, , , , , , , , ,"AM lthough 'doing good' is our innate nature, we often get lost in the complexities and view goodness as a distant dream. Making this dream of goodness a reality is often thwarted by thoughts surrounding sustainability. Thus, all good initiatives require a focus on sustainability and this has become one of greatest and most formidable challenges faced by any social enterprise. The book documents the understanding of the sustainability of one of the most celebrated forms of social enterprise of our times ― Microfinance Institutions (MFIs) gained through a mixed-methods research investigation. It attempts to answer pertinent questions such as: What are the determinant and discriminating factors for the sustainability of MFIs in India? How are these factors being managed by the operationally efficient Indian MFIs that remained sustainable at reasonable interest rates before the onset of the crisis and ceilings imposition in Indian microfinance markets? What does the Indian microfinance crisis teach us about sustainability management and mismanagement? In a nutshell, the answers show that sustainability is a strategic issue that needs managerial attention and not a matter to be left to serendipity. At a time when the industry is recovering from the adverse effects of a crisis and when there are still contentions as to whether the rate fixed by the regulator is enough for the sustenance of the MFIs, the findings mentioned in the book revive the lost hope for the Indian microfinance industry. By deciphering the strategies used by efficient and sustainable MFIs and discussing the lessons that the crisis has imparted to the Indian microfinance markets, this book will enable Indian MFIs to march towards efficient and sustainable operations without losing focus on their clients.",1, ,RE,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1, ,0,2014,    3.00,6
 ,1,person,2001,82,231910295,The role of microcredit in poverty alleviation profile of the microcredit sector in Lebanon Imad A. Hamzé. Economic and Social Commission for Western Asia,Imad A.,Hamzé,1,United Nations,New York,1,1,eng,"VIII, 102 S. 25 cm",Imad A.,Hamzé,M, , , , , , , , , ,1,1,1, , , , , , , , ,"Microfinance has become an increasingly popular option in many developing countries & is an effective tool for improving the living standards of the poor. Several local non-governmental org., international finance institutions, donor countries, banks & others have shown an interest in developing microenterprises through such loans. Here is detailed info. on the microfinance sector in Lebanon & may be of use to researchers, non-governmental & governmental org., donors, policy makers, & prospective borrowers. Includes a description of the microlending market & its major players in Lebanon, an analysis of the strengths & weaknesses of these players, & info. on the microenterprises that constitute the potential target of lending institutions.",1, ,CS,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0, ,0,2001,    1.00,3
E,1,person,2007,492,71368890,"Information communication technologies and human development : opportunities and challenges / Mila Gascó-Hernández, Fran Equiza-López, Manuel Acevedo-Ruiz [editors]",Mila,Gascó Hernández,0,Idea Group Pub.,Hershey,1,1,eng,"xx, 325 pages : illustrations, maps ; 27 cm",Mila,Gascó Hernández,F,Fran,Equiza-López,F,Manuel,Acevedo-Ruiz,M, , , ,14,2,2, , , , , , , , ,"""This book aspires to describe the link between ICTs and human development (which includes economic, social and political development), to identify the potential applications of ICTs in several areas, and to provide insightful analysis about those factors (also contextual and institutional ones) that affect ICTs for development initiatives success or failure""--Provided by publisher", , ,M,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,0,2007,    3.00,7
